Complaint_Text,Category,Sentiment,Priority,Village,Date,Pincode,lang,Standardized_Complaint
Village road is damaged due to rain.,Road,Negative,Low,Someshwar,2025-04-23,412306,en,road potholes
गावातील शाळेत शिक्षक नाहीत.,Others,Negative,Low,Morgaon,2024-09-15,413304,mr,teachers not available
No electricity for 7 hours continuously.,Electricity,Negative,High,Katphal,2024-02-11,413111,en,prolonged power cut
Village road is damaged due to rain.,Road,Negative,Low,Katphal,2024-10-16,413111,en,road potholes
पंचायत कार्यालयात कोणी उपलब्ध नाही.,Others,Negative,Low,Nimbut,2024-03-07,413110,mr,other_issue
Streetlights are not working at the chowk.,Others,Negative,Low,Katphal,2025-08-10,413111,en,streetlights not working
Streetlights are not working at the chowk.,Others,Negative,Low,Pandare,2024-04-10,413103,en,streetlights not working
Frequent power cuts in the evening.,Electricity,Negative,High,Someshwar,2024-02-07,412306,en,frequent power cuts
No doctor available at PHC.,Health,Negative,High,Malegaon,2025-05-30,413115,en,doctor not available
Streetlights are not working at the chowk.,Others,Negative,Low,Malegaon,2024-02-04,413115,en,streetlights not working
गावात नवीन रस्ता बनवणे आवश्यक आहे.,Road,Neutral,Low,Someshwar,2024-10-08,412306,mr,new road required
No electricity for 2 hours continuously.,Electricity,Negative,High,Baramati,2025-05-22,413102,en,prolonged power cut
पाण्याचा टँकर आला नाही 3 दिवसांपासून.,Water,Negative,High,Baramati,2025-02-28,413102,mr,water tanker not arrived
गावात नवीन रस्ता बनवणे आवश्यक आहे.,Road,Neutral,Low,Nimbut,2024-05-10,413110,mr,new road required
Road construction is pending for months.,Road,Negative,Low,Katphal,2025-01-31,413111,en,road work pending
Village road is damaged due to rain.,Road,Negative,Low,Supa,2024-10-16,413109,en,road potholes
Drainage water is overflowing on the streets.,Sanitation,Negative,Medium,Malegaon,2025-04-29,413115,en,drainage problem
गावातील शाळेत शिक्षक नाहीत.,Others,Negative,Low,Someshwar,2024-07-29,412306,mr,teachers not available
Frequent power cuts in the evening.,Electricity,Negative,High,Katphal,2025-08-30,413111,en,frequent power cuts
Electric transformer is not working in Jejuri.,Electricity,Negative,High,Baramati,2025-01-11,413102,en,transformer not working
गावात आरोग्य शिबीराची गरज आहे.,Health,Neutral,Medium,Morgaon,2025-07-05,413304,mr,health camp needed
गावातील शाळेत शिक्षक नाहीत.,Others,Negative,Low,Someshwar,2025-01-29,412306,mr,teachers not available
गावात नाल्यांची स्वच्छता होत नाही.,Sanitation,Negative,Medium,Baramati,2025-05-10,413102,mr,drainage problem
गावात वीज पुरवठा खंडित झाला आहे.,Electricity,Negative,High,Nimbut,2024-05-16,413110,mr,electricity supply disrupted
No electricity for 7 hours continuously.,Electricity,Negative,High,Nimbut,2024-04-22,413110,en,prolonged power cut
Dustbins are overflowing everywhere.,Sanitation,Negative,Medium,Morgaon,2024-09-07,413304,en,garbage not collected
Drainage water is overflowing on the streets.,Sanitation,Negative,Medium,Someshwar,2024-05-12,412306,en,drainage problem
गावात नाल्यांची स्वच्छता होत नाही.,Sanitation,Negative,Medium,Baramati,2024-10-15,413102,mr,drainage problem
Playground is not maintained properly.,Others,Negative,Low,Pandare,2025-08-23,413103,en,playground not maintained
No doctor available at PHC.,Health,Negative,High,Malegaon,2024-07-05,413115,en,doctor not available
Electric transformer is not working in Loni.,Electricity,Negative,High,Someshwar,2025-05-20,412306,en,transformer not working
No doctor available at PHC.,Health,Negative,High,Morgaon,2025-06-29,413304,en,doctor not available
Electric transformer is not working in Bhigwan.,Electricity,Negative,High,Pandare,2025-05-16,413103,en,transformer not working
गावात वीज पुरवठा खंडित झाला आहे.,Electricity,Negative,High,Baramati,2025-06-21,413102,mr,electricity supply disrupted
Village road is damaged due to rain.,Road,Negative,Low,Katphal,2025-01-18,413111,en,road potholes
पाण्याचा टँकर आला नाही 9 दिवसांपासून.,Water,Negative,High,Malegaon,2024-02-12,413115,mr,water tanker not arrived
पाण्याचा टँकर आला नाही 9 दिवसांपासून.,Water,Negative,High,Malegaon,2025-06-15,413115,mr,water tanker not arrived
"वीज खूप वेळा जाते, अभ्यासात अडचण येते.",Electricity,Negative,High,Supa,2025-05-05,413109,mr,frequent power cuts
No electricity for 6 hours continuously.,Electricity,Negative,High,Katphal,2024-07-14,413111,en,prolonged power cut
No water supply in the village since 3 days.,Water,Negative,High,Katphal,2025-02-24,413111,en,no water supply
गावात नवीन रस्ता बनवणे आवश्यक आहे.,Road,Neutral,Low,Katphal,2025-02-21,413111,mr,new road required
Medicines are not available at PHC.,Health,Negative,Medium,Nimbut,2024-08-30,413110,en,medicines not available
रस्त्यावर मोठे खड्डे पडले आहेत.,Road,Negative,Low,Someshwar,2025-08-25,412306,mr,other_issue
No doctor available at PHC.,Health,Negative,High,Pandare,2024-08-03,413103,en,doctor not available
Playground is not maintained properly.,Others,Negative,Low,Morgaon,2025-06-21,413304,en,playground not maintained
पाण्याचा टँकर आला नाही 3 दिवसांपासून.,Water,Negative,High,Nimbut,2024-08-24,413110,mr,water tanker not arrived
Electric transformer is not working in Indapur.,Electricity,Negative,High,Katphal,2024-09-12,413111,en,transformer not working
No electricity for 6 hours continuously.,Electricity,Negative,High,Katphal,2024-05-29,413111,en,prolonged power cut
गावात नवीन रस्ता बनवणे आवश्यक आहे.,Road,Neutral,Low,Morgaon,2025-06-06,413304,mr,new road required
Dustbins are overflowing everywhere.,Sanitation,Negative,Medium,Katphal,2025-05-31,413111,en,garbage not collected
Streetlights are not working at the chowk.,Others,Negative,Low,Katphal,2024-12-17,413111,en,streetlights not working
Village road is damaged due to rain.,Road,Negative,Low,Pandare,2024-10-04,413103,en,road potholes
गावात पिण्याच्या पाण्याची समस्या आहे.,Water,Negative,High,Malegaon,2025-06-27,413115,mr,drinking water problem
गावात आरोग्य शिबीराची गरज आहे.,Health,Neutral,Medium,Katphal,2024-12-02,413111,mr,health camp needed
No water supply in the village since 1 days.,Water,Negative,High,Someshwar,2025-05-25,412306,en,no water supply
Village road is damaged due to rain.,Road,Negative,Low,Baramati,2025-01-30,413102,en,road potholes
"Handpump is broken, villagers are suffering.",Water,Negative,High,Supa,2024-11-29,413109,en,handpump broken
गावात आरोग्य शिबीराची गरज आहे.,Health,Neutral,Medium,Nimbut,2024-09-14,413110,mr,health camp needed
गावात पिण्याच्या पाण्याची समस्या आहे.,Water,Negative,High,Baramati,2024-10-08,413102,mr,drinking water problem
गावात पिण्याच्या पाण्याची समस्या आहे.,Water,Negative,High,Pandare,2024-11-07,413103,mr,drinking water problem
Village road is damaged due to rain.,Road,Negative,Low,Morgaon,2025-06-07,413304,en,road potholes
No doctor available at PHC.,Health,Negative,Medium,Malegaon,2025-07-18,413115,en,doctor not available
Playground is not maintained properly.,Others,Negative,Low,Katphal,2025-08-26,413111,en,playground not maintained
The road from Jejuri to nearby town is full of potholes.,Road,Negative,Low,Morgaon,2025-03-30,413304,en,road potholes
Drainage water is overflowing on the streets.,Sanitation,Negative,Medium,Nimbut,2024-04-08,413110,en,drainage problem
Garbage is not collected regularly in Baramati.,Sanitation,Negative,Medium,Katphal,2024-04-11,413111,en,garbage not collected
गावात कचरा उचलला जात नाही.,Sanitation,Negative,Medium,Morgaon,2024-03-03,413304,mr,garbage not collected
गावात नाल्यांची स्वच्छता होत नाही.,Sanitation,Negative,Medium,Baramati,2025-03-26,413102,mr,drainage problem
Village road is damaged due to rain.,Road,Negative,Low,Someshwar,2024-03-11,412306,en,road potholes
Garbage is not collected regularly in Baramati.,Sanitation,Negative,Medium,Katphal,2025-01-16,413111,en,garbage not collected
Village road is damaged due to rain.,Road,Negative,Low,Someshwar,2025-07-18,412306,en,road potholes
Dustbins are overflowing everywhere.,Sanitation,Negative,Medium,Morgaon,2024-06-16,413304,en,garbage not collected
Electric transformer is not working in Malegaon.,Electricity,Negative,High,Katphal,2024-01-23,413111,en,transformer not working
Garbage is not collected regularly in Baramati.,Sanitation,Negative,Medium,Someshwar,2025-01-28,412306,en,garbage not collected
"Handpump is broken, villagers are suffering.",Water,Negative,High,Morgaon,2024-10-09,413304,en,handpump broken
The road from Loni to nearby town is full of potholes.,Road,Negative,Low,Katphal,2024-11-16,413111,en,road potholes
Road construction is pending for months.,Road,Negative,Low,Nimbut,2025-09-11,413110,en,road work pending
Medicines are not available at PHC.,Health,Negative,High,Supa,2024-10-12,413109,en,medicines not available
"Handpump is broken, villagers are suffering.",Water,Negative,High,Pandare,2025-07-30,413103,en,handpump broken
Garbage is not collected regularly in Jejuri.,Sanitation,Negative,Medium,Katphal,2024-04-04,413111,en,garbage not collected
Playground is not maintained properly.,Others,Negative,Low,Baramati,2025-04-05,413102,en,playground not maintained
गावात कचरा उचलला जात नाही.,Sanitation,Negative,Medium,Supa,2025-01-20,413109,mr,garbage not collected
Dustbins are overflowing everywhere.,Sanitation,Negative,Medium,Morgaon,2024-12-19,413304,en,garbage not collected
Medicines are not available at PHC.,Health,Negative,High,Morgaon,2025-02-11,413304,en,medicines not available
Frequent power cuts in the evening.,Electricity,Negative,High,Morgaon,2025-07-04,413304,en,frequent power cuts
गावात नवीन रस्ता बनवणे आवश्यक आहे.,Road,Neutral,Low,Pandare,2024-12-23,413103,mr,new road required
The road from Malegaon to nearby town is full of potholes.,Road,Negative,Low,Pandare,2024-04-05,413103,en,road potholes
Frequent power cuts in the evening.,Electricity,Negative,High,Baramati,2024-03-19,413102,en,frequent power cuts
पाण्याचा टँकर आला नाही 8 दिवसांपासून.,Water,Negative,High,Malegaon,2024-08-13,413115,mr,water tanker not arrived
No electricity for 8 hours continuously.,Electricity,Negative,High,Supa,2024-12-02,413109,en,prolonged power cut
Road construction is pending for months.,Road,Negative,Low,Malegaon,2024-10-03,413115,en,road work pending
The road from Baramati to nearby town is full of potholes.,Road,Negative,Low,Malegaon,2024-12-25,413115,en,road potholes
Electric transformer is not working in Baramati.,Electricity,Negative,High,Pandare,2024-08-09,413103,en,transformer not working
Streetlights are not working at the chowk.,Others,Negative,Low,Supa,2024-02-21,413109,en,streetlights not working
गावात पिण्याच्या पाण्याची समस्या आहे.,Water,Negative,High,Malegaon,2025-08-17,413115,mr,drinking water problem
रस्त्यावर मोठे खड्डे पडले आहेत.,Road,Negative,Low,Malegaon,2024-03-26,413115,mr,other_issue
गावात कचरा उचलला जात नाही.,Sanitation,Negative,Medium,Pandare,2025-04-10,413103,mr,garbage not collected
Playground is not maintained properly.,Others,Negative,Low,Supa,2024-11-12,413109,en,playground not maintained
गावात नवीन रस्ता बनवणे आवश्यक आहे.,Road,Neutral,Low,Someshwar,2025-05-08,412306,mr,new road required
Road construction is pending for months.,Road,Negative,Low,Pandare,2025-08-23,413103,en,road work pending
गावात नवीन रस्ता बनवणे आवश्यक आहे.,Road,Neutral,Low,Someshwar,2025-02-22,412306,mr,new road required
Drainage water is overflowing on the streets.,Sanitation,Negative,Medium,Katphal,2024-12-26,413111,en,drainage problem
Playground is not maintained properly.,Others,Negative,Low,Morgaon,2024-07-29,413304,en,playground not maintained
गावातील शाळेत शिक्षक नाहीत.,Others,Negative,Low,Nimbut,2025-04-22,413110,mr,teachers not available
Garbage is not collected regularly in Jejuri.,Sanitation,Negative,Medium,Katphal,2024-03-21,413111,en,garbage not collected
गावातील शाळेत शिक्षक नाहीत.,Others,Negative,Low,Baramati,2024-02-28,413102,mr,teachers not available
Streetlights are not working at the chowk.,Others,Negative,Low,Katphal,2024-12-21,413111,en,streetlights not working
रस्त्यावर मोठे खड्डे पडले आहेत.,Road,Negative,Low,Supa,2024-03-27,413109,mr,other_issue
"वीज खूप वेळा जाते, अभ्यासात अडचण येते.",Electricity,Negative,High,Katphal,2025-07-10,413111,mr,frequent power cuts
गावात नवीन रस्ता बनवणे आवश्यक आहे.,Road,Neutral,Low,Nimbut,2024-01-23,413110,mr,new road required
Frequent power cuts in the evening.,Electricity,Negative,High,Someshwar,2024-09-14,412306,en,frequent power cuts
No doctor available at PHC.,Health,Negative,High,Baramati,2024-10-04,413102,en,doctor not available
Village health worker is absent since 9 days.,Health,Negative,Medium,Katphal,2024-08-21,413111,en,health worker absent
The road from Someshwar to nearby town is full of potholes.,Road,Negative,Low,Pandare,2025-03-19,413103,en,road potholes
No water supply in the village since 2 days.,Water,Negative,High,Morgaon,2025-07-23,413304,en,no water supply
Streetlights are not working at the chowk.,Others,Negative,Low,Katphal,2025-06-20,413111,en,streetlights not working
गावात आरोग्य शिबीराची गरज आहे.,Health,Neutral,High,Malegaon,2024-01-31,413115,mr,health camp needed
"वीज खूप वेळा जाते, अभ्यासात अडचण येते.",Electricity,Negative,High,Pandare,2024-06-20,413103,mr,frequent power cuts
पंचायत कार्यालयात कोणी उपलब्ध नाही.,Others,Negative,Low,Malegaon,2025-03-02,413115,mr,other_issue
Electric transformer is not working in Baramati.,Electricity,Negative,High,Malegaon,2024-03-15,413115,en,transformer not working
रस्त्यावर मोठे खड्डे पडले आहेत.,Road,Negative,Low,Pandare,2024-07-03,413103,mr,other_issue
No electricity for 5 hours continuously.,Electricity,Negative,High,Malegaon,2025-03-25,413115,en,prolonged power cut
गावात नाल्यांची स्वच्छता होत नाही.,Sanitation,Negative,Medium,Morgaon,2024-02-24,413304,mr,drainage problem
Playground is not maintained properly.,Others,Negative,Low,Nimbut,2025-08-05,413110,en,playground not maintained
Frequent power cuts in the evening.,Electricity,Negative,High,Baramati,2024-10-15,413102,en,frequent power cuts
गावात नवीन रस्ता बनवणे आवश्यक आहे.,Road,Neutral,Low,Malegaon,2024-08-01,413115,mr,new road required
Garbage is not collected regularly in Bhigwan.,Sanitation,Negative,Medium,Katphal,2025-03-15,413111,en,garbage not collected
पाण्याचा टँकर आला नाही 3 दिवसांपासून.,Water,Negative,High,Supa,2024-06-17,413109,mr,water tanker not arrived
Village health worker is absent since 1 days.,Health,Negative,High,Supa,2025-03-03,413109,en,health worker absent
गावात वीज पुरवठा खंडित झाला आहे.,Electricity,Negative,High,Malegaon,2024-01-11,413115,mr,electricity supply disrupted
No doctor available at PHC.,Health,Negative,Medium,Morgaon,2024-01-08,413304,en,doctor not available
Library in village remains closed.,Others,Negative,Low,Baramati,2025-06-28,413102,en,other_issue
Medicines are not available at PHC.,Health,Negative,High,Nimbut,2025-07-31,413110,en,medicines not available
Emergency ambulance did not arrive on time.,Health,Negative,High,Supa,2024-10-16,413109,en,ambulance not arrived
Emergency ambulance did not arrive on time.,Health,Negative,High,Someshwar,2024-03-11,412306,en,ambulance not arrived
No doctor available at PHC.,Health,Negative,High,Katphal,2025-07-10,413111,en,doctor not available
No electricity for 9 hours continuously.,Electricity,Negative,High,Someshwar,2024-10-24,412306,en,prolonged power cut
No water supply in the village since 10 days.,Water,Negative,High,Nimbut,2024-09-06,413110,en,no water supply
Drainage water is overflowing on the streets.,Sanitation,Negative,Medium,Morgaon,2024-10-11,413304,en,drainage problem
Road construction is pending for months.,Road,Negative,Low,Malegaon,2024-07-19,413115,en,road work pending
पाण्याचा टँकर आला नाही 10 दिवसांपासून.,Water,Negative,High,Katphal,2025-04-20,413111,mr,water tanker not arrived
गावात आरोग्य शिबीराची गरज आहे.,Health,Neutral,Medium,Someshwar,2025-06-20,412306,mr,health camp needed
गावात वीज पुरवठा खंडित झाला आहे.,Electricity,Negative,High,Supa,2024-03-13,413109,mr,electricity supply disrupted
पाण्याचा टँकर आला नाही 3 दिवसांपासून.,Water,Negative,High,Someshwar,2025-06-20,412306,mr,water tanker not arrived
Garbage is not collected regularly in Bhigwan.,Sanitation,Negative,Medium,Katphal,2024-06-15,413111,en,garbage not collected
Emergency ambulance did not arrive on time.,Health,Negative,Medium,Supa,2025-02-22,413109,en,ambulance not arrived
"Handpump is broken, villagers are suffering.",Water,Negative,High,Morgaon,2025-03-29,413304,en,handpump broken
No water supply in the village since 8 days.,Water,Negative,High,Someshwar,2024-05-02,412306,en,no water supply
रस्त्यावर मोठे खड्डे पडले आहेत.,Road,Negative,Low,Malegaon,2025-08-24,413115,mr,other_issue
गावात नवीन रस्ता बनवणे आवश्यक आहे.,Road,Neutral,Low,Katphal,2024-06-22,413111,mr,new road required
Frequent power cuts in the evening.,Electricity,Negative,High,Katphal,2024-07-10,413111,en,frequent power cuts
Garbage is not collected regularly in Pandharpur.,Sanitation,Negative,Medium,Baramati,2025-08-31,413102,en,garbage not collected
Playground is not maintained properly.,Others,Negative,Low,Baramati,2024-02-05,413102,en,playground not maintained
Playground is not maintained properly.,Others,Negative,Low,Someshwar,2025-02-13,412306,en,playground not maintained
Streetlights are not working at the chowk.,Others,Negative,Low,Katphal,2025-03-21,413111,en,streetlights not working
No water supply in the village since 10 days.,Water,Negative,High,Malegaon,2025-02-16,413115,en,no water supply
Library in village remains closed.,Others,Negative,Low,Katphal,2025-09-02,413111,en,other_issue
No doctor available at PHC.,Health,Negative,High,Morgaon,2025-03-12,413304,en,doctor not available
Frequent power cuts in the evening.,Electricity,Negative,High,Morgaon,2024-11-02,413304,en,frequent power cuts
Drainage water is overflowing on the streets.,Sanitation,Negative,Medium,Morgaon,2025-08-23,413304,en,drainage problem
गावात नवीन रस्ता बनवणे आवश्यक आहे.,Road,Neutral,Low,Katphal,2024-06-04,413111,mr,new road required
गावात वीज पुरवठा खंडित झाला आहे.,Electricity,Negative,High,Pandare,2024-09-13,413103,mr,electricity supply disrupted
रस्त्यावर मोठे खड्डे पडले आहेत.,Road,Negative,Low,Baramati,2024-12-13,413102,mr,other_issue
Road construction is pending for months.,Road,Negative,Low,Morgaon,2024-01-15,413304,en,road work pending
पंचायत कार्यालयात कोणी उपलब्ध नाही.,Others,Negative,Low,Baramati,2025-08-01,413102,mr,other_issue
Streetlights are not working at the chowk.,Others,Negative,Low,Pandare,2025-07-05,413103,en,streetlights not working
No doctor available at PHC.,Health,Negative,High,Nimbut,2024-06-27,413110,en,doctor not available
गावातील शाळेत शिक्षक नाहीत.,Others,Negative,Low,Nimbut,2025-04-09,413110,mr,teachers not available
Drainage water is overflowing on the streets.,Sanitation,Negative,Medium,Morgaon,2024-07-30,413304,en,drainage problem
गावातील शाळेत शिक्षक नाहीत.,Others,Negative,Low,Katphal,2024-03-25,413111,mr,teachers not available
पाण्याचा टँकर आला नाही 10 दिवसांपासून.,Water,Negative,High,Nimbut,2025-07-29,413110,mr,water tanker not arrived
Emergency ambulance did not arrive on time.,Health,Negative,Medium,Katphal,2024-12-14,413111,en,ambulance not arrived
रस्त्यावर मोठे खड्डे पडले आहेत.,Road,Negative,Low,Morgaon,2024-06-07,413304,mr,other_issue
गावात कचरा उचलला जात नाही.,Sanitation,Negative,Medium,Malegaon,2024-11-16,413115,mr,garbage not collected
पाण्याचा टँकर आला नाही 6 दिवसांपासून.,Water,Negative,High,Nimbut,2024-07-01,413110,mr,water tanker not arrived
"Handpump is broken, villagers are suffering.",Water,Negative,High,Pandare,2025-02-09,413103,en,handpump broken
Frequent power cuts in the evening.,Electricity,Negative,High,Baramati,2024-01-14,413102,en,frequent power cuts
गावात आरोग्य शिबीराची गरज आहे.,Health,Neutral,High,Malegaon,2024-11-16,413115,mr,health camp needed
Dustbins are overflowing everywhere.,Sanitation,Negative,Medium,Baramati,2024-01-29,413102,en,garbage not collected
गावातील शाळेत शिक्षक नाहीत.,Others,Negative,Low,Katphal,2024-05-29,413111,mr,teachers not available
Frequent power cuts in the evening.,Electricity,Negative,High,Malegaon,2024-06-01,413115,en,frequent power cuts
गावात वीज पुरवठा खंडित झाला आहे.,Electricity,Negative,High,Nimbut,2024-03-01,413110,mr,electricity supply disrupted
गावातील शाळेत शिक्षक नाहीत.,Others,Negative,Low,Supa,2025-05-03,413109,mr,teachers not available
No doctor available at PHC.,Health,Negative,Medium,Pandare,2024-02-04,413103,en,doctor not available
No water supply in the village since 10 days.,Water,Negative,High,Pandare,2024-07-18,413103,en,no water supply
गावात नवीन रस्ता बनवणे आवश्यक आहे.,Road,Neutral,Low,Katphal,2025-01-25,413111,mr,new road required
गावात नवीन रस्ता बनवणे आवश्यक आहे.,Road,Neutral,Low,Supa,2025-08-30,413109,mr,new road required
गावातील शाळेत शिक्षक नाहीत.,Others,Negative,Low,Baramati,2024-01-06,413102,mr,teachers not available
गावात नवीन रस्ता बनवणे आवश्यक आहे.,Road,Neutral,Low,Malegaon,2025-03-28,413115,mr,new road required
No electricity for 9 hours continuously.,Electricity,Negative,High,Pandare,2025-03-03,413103,en,prolonged power cut
पंचायत कार्यालयात कोणी उपलब्ध नाही.,Others,Negative,Low,Baramati,2024-04-14,413102,mr,other_issue
पाण्याचा टँकर आला नाही 4 दिवसांपासून.,Water,Negative,High,Supa,2024-01-08,413109,mr,water tanker not arrived
Drainage water is overflowing on the streets.,Sanitation,Negative,Medium,Katphal,2024-10-05,413111,en,drainage problem
No water supply in the village since 2 days.,Water,Negative,High,Baramati,2024-01-31,413102,en,no water supply
गावात वीज पुरवठा खंडित झाला आहे.,Electricity,Negative,High,Supa,2024-05-29,413109,mr,electricity supply disrupted
Village health worker is absent since 9 days.,Health,Negative,Medium,Katphal,2025-03-27,413111,en,health worker absent
पाण्याचा टँकर आला नाही 1 दिवसांपासून.,Water,Negative,High,Someshwar,2024-08-07,412306,mr,water tanker not arrived
"Handpump is broken, villagers are suffering.",Water,Negative,High,Malegaon,2025-03-15,413115,en,handpump broken
पाण्याचा टँकर आला नाही 3 दिवसांपासून.,Water,Negative,High,Nimbut,2024-01-01,413110,mr,water tanker not arrived
Medicines are not available at PHC.,Health,Negative,High,Someshwar,2024-03-17,412306,en,medicines not available
गावात कचरा उचलला जात नाही.,Sanitation,Negative,Medium,Baramati,2024-05-25,413102,mr,garbage not collected
गावात नवीन रस्ता बनवणे आवश्यक आहे.,Road,Neutral,Low,Supa,2025-02-04,413109,mr,new road required
Dustbins are overflowing everywhere.,Sanitation,Negative,Medium,Malegaon,2024-05-15,413115,en,garbage not collected
"वीज खूप वेळा जाते, अभ्यासात अडचण येते.",Electricity,Negative,High,Katphal,2024-06-26,413111,mr,frequent power cuts
Village road is damaged due to rain.,Road,Negative,Low,Nimbut,2024-12-29,413110,en,road potholes
गावात पिण्याच्या पाण्याची समस्या आहे.,Water,Negative,High,Malegaon,2025-08-15,413115,mr,drinking water problem
Garbage is not collected regularly in Jejuri.,Sanitation,Negative,Medium,Nimbut,2024-12-26,413110,en,garbage not collected
Village health worker is absent since 2 days.,Health,Negative,Medium,Baramati,2025-01-23,413102,en,health worker absent
"Handpump is broken, villagers are suffering.",Water,Negative,High,Morgaon,2025-08-05,413304,en,handpump broken
गावात नाल्यांची स्वच्छता होत नाही.,Sanitation,Negative,Medium,Malegaon,2024-02-05,413115,mr,drainage problem
Drainage water is overflowing on the streets.,Sanitation,Negative,Medium,Malegaon,2025-08-14,413115,en,drainage problem
गावात कचरा उचलला जात नाही.,Sanitation,Negative,Medium,Nimbut,2025-09-15,413110,mr,garbage not collected
गावात पिण्याच्या पाण्याची समस्या आहे.,Water,Negative,High,Someshwar,2024-06-03,412306,mr,drinking water problem
गावात नवीन रस्ता बनवणे आवश्यक आहे.,Road,Neutral,Low,Someshwar,2025-05-04,412306,mr,new road required
Library in village remains closed.,Others,Negative,Low,Supa,2024-03-21,413109,en,other_issue
पाण्याचा टँकर आला नाही 2 दिवसांपासून.,Water,Negative,High,Morgaon,2024-08-02,413304,mr,water tanker not arrived
गावात पिण्याच्या पाण्याची समस्या आहे.,Water,Negative,High,Malegaon,2024-02-08,413115,mr,drinking water problem
Library in village remains closed.,Others,Negative,Low,Malegaon,2024-12-02,413115,en,other_issue
Road construction is pending for months.,Road,Negative,Low,Someshwar,2025-02-06,412306,en,road work pending
Village road is damaged due to rain.,Road,Negative,Low,Nimbut,2024-09-29,413110,en,road potholes
Village road is damaged due to rain.,Road,Negative,Low,Baramati,2024-12-17,413102,en,road potholes
